Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
IODINATED POPPYSEED OIL,IODINATED POPPYSEED OIL,https://pubchem.ncbi.nlm.nih.gov/substance/135304584,RELEVANT,8002-46-8,"71892-90-5, 79817-44-0, 87435-86-7",SUBSTANCE,YES,YES,YES
LACTUCA VIROSA,LACTUCA VIROSA,https://pubchem.ncbi.nlm.nih.gov/compound/Lactuca%20Virosa,FEATURED,85117-07-3,No CAS info,COMPOUND,MISSING,MISSING,NO
LAUROAMPHOACETATE,LAUROAMPHOACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/71308272,RELEVANT,"156028-14-7, 68647-44-9",No CAS info,COMPOUND,NO,NO,NO
LEPIDIUM MEYENII,LEPIDIUM MEYENII,https://pubchem.ncbi.nlm.nih.gov/compound/220495,RELEVANT,5327-45-7,No CAS info,COMPOUND,NO,NO,NO
LOBARIA PULMONARIA,LOBARIA PULMONARIA,https://pubchem.ncbi.nlm.nih.gov/compound/Lobaria%20pulmonaria,FEATURED,90063-60-8,No CAS info,COMPOUND,MISSING,YES,YES
LOBELIA INFLATA,LOBELIA INFLATA,https://pubchem.ncbi.nlm.nih.gov/compound/Lobelia%20Inflata,FEATURED,84696-23-1,No CAS info,COMPOUND,MISSING,YES,YES
LOLIUM PERENNE,LOLIUM PERENNE,https://pubchem.ncbi.nlm.nih.gov/compound/Lolium%20perenne%20Pollen,FEATURED,90063-63-1,No CAS info,COMPOUND,MISSING,YES,YES
MATRICARIA CHAMOMILLA,MATRICARIA CHAMOMILLA,https://pubchem.ncbi.nlm.nih.gov/compound/Matricaria%20chamomilla,FEATURED,977001-96-9,No CAS info,COMPOUND,MISSING,YES,YES
MELISSA OFFICINALIS,MELISSA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/Melissa%20officinalis,FEATURED,"8014-71-9, 977051-08-3",No CAS info,COMPOUND,MISSING,YES,YES
MENTHA PIPERITA,MENTHA PIPERITA,https://pubchem.ncbi.nlm.nih.gov/compound/Mentha%20piperita,FEATURED,84082-70-2,No CAS info,COMPOUND,MISSING,YES,YES
