,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
1913,,,,,,,,NO,NO,NO
1914,,,,,,,,NO,NO,NO
1915,,,,,,,,NO,NO,NO
1916,,,,,,,,NO,NO,NO
1917,,,,,,,,YES,YES,YES
1918,,,,,,,,MISSING,YES,YES
1919,,,,,,,,NO,NO,NO
1920,,,,,,,,YES,YES,YES
1921,,,,,,,,YES,YES,YES
1922,,,,,,,,YES,YES,YES
1923,,,,,,,,YES,YES,YES
1924,,,,,,,,YES,YES,YES
1925,,,,,,,,YES,YES,YES
1926,,,,,,,,YES,YES,YES
1927,,,,,,,,YES,YES,YES
1928,,,,,,,,YES,YES,YES
1929,,,,,,,,MISSING,YES,YES
1930,,,,,,,,YES,YES,YES
1931,,,,,,,,YES,YES,YES
1932,,,,,,,,YES,YES,YES
1933,,,,,,,,YES,YES,YES
1934,,,,,,,,YES,YES,YES
1935,,,,,,,,YES,YES,YES
1936,,,,,,,,YES,YES,YES
1937,,,,,,,,YES,YES,YES
1938,,,,,,,,YES,YES,YES
1939,,,,,,,,YES,YES,YES
1940,,,,,,,,YES,YES,YES
1941,,,,,,,,YES,YES,YES
1942,,,,,,,,YES,YES,YES
1943,,,,,,,,YES,YES,YES
1944,,,,,,,,YES,YES,YES
1945,,,,,,,,YES,YES,YES
1946,,,,,,,,YES,YES,YES
1947,,,,,,,,YES,YES,YES
1948,,,,,,,,YES,YES,YES
1949,,,,,,,,YES,YES,YES
1950,,,,,,,,MISSING,YES,YES
1951,,,,,,,,YES,YES,YES
1952,,,,,,,,YES,YES,YES
1953,,,,,,,,MISSING,YES,YES
1954,,,,,,,,MISSING,YES,YES
1955,,,,,,,,YES,YES,YES
1956,,,,,,,,YES,YES,YES
1957,,,,,,,,YES,YES,YES
1958,,,,,,,,YES,YES,YES
1959,,,,,,,,NO,NO,NO
1960,,,,,,,,MISSING,YES,YES
1961,,,,,,,,NO,NO,NO
1962,,,,,,,,YES,YES,YES
1963,,,,,,,,MISSING,YES,YES
1964,,,,,,,,YES,YES,YES
1965,,,,,,,,MISSING,YES,YES
1966,,,,,,,,YES,YES,YES
1967,,,,,,,,YES,YES,YES
1968,,,,,,,,YES,YES,YES
1969,,,,,,,,YES,YES,YES
1970,,,,,,,,YES,YES,YES
1971,,,,,,,,MISSING,YES,YES
1972,,,,,,,,YES,YES,YES
1973,,,,,,,,YES,YES,YES
1974,,,,,,,,NO,NO,NO
1975,,,,,,,,MISSING,YES,YES
1976,,,,,,,,YES,YES,YES
1977,,,,,,,,YES,YES,YES
1978,,,,,,,,YES,YES,YES
1979,,,,,,,,YES,YES,YES
1980,,,,,,,,YES,YES,YES
1981,,,,,,,,NO,MISSING,NO
1982,,,,,,,,MISSING,YES,YES
1983,,,,,,,,MISSING,YES,YES
1984,,,,,,,,NO,MISSING,NO
1985,,,,,,,,YES,YES,YES
1986,,,,,,,,MISSING,YES,YES
1987,,,,,,,,MISSING,YES,YES
1988,,,,,,,,YES,YES,YES
1989,,,,,,,,MISSING,YES,YES
1990,,,,,,,,MISSING,YES,YES
1991,,,,,,,,NO,MISSING,NO
1992,,,,,,,,NO,MISSING,NO
1993,,,,,,,,MISSING,YES,YES
1994,,,,,,,,MISSING,YES,YES
1995,,,,,,,,MISSING,YES,YES
1996,,,,,,,,YES,YES,YES
1997,,,,,,,,MISSING,YES,YES
1998,,,,,,,,NO,MISSING,NO
1999,,,,,,,,MISSING,YES,YES
2000,,,,,,,,YES,YES,YES
2001,,,,,,,,YES,YES,YES
2002,,,,,,,,YES,YES,YES
2003,,,,,,,,YES,YES,YES
2004,,,,,,,,YES,YES,YES
2005,,,,,,,,YES,YES,YES
2006,,,,,,,,YES,YES,YES
2007,,,,,,,,YES,YES,YES
2008,,,,,,,,YES,YES,YES
2009,,,,,,,,YES,YES,YES
2010,,,,,,,,NO,MISSING,NO
2011,,,,,,,,YES,YES,YES
2012,,,,,,,,YES,YES,YES
2013,,,,,,,,YES,YES,YES
2014,,,,,,,,YES,YES,YES
2015,,,,,,,,MISSING,YES,YES
2016,,,,,,,,YES,YES,YES
2017,,,,,,,,YES,YES,YES
2018,,,,,,,,YES,YES,YES
2019,,,,,,,,YES,YES,YES
2020,,,,,,,,MISSING,YES,YES
2021,,,,,,,,YES,YES,YES
2022,,,,,,,,YES,YES,YES
2023,,,,,,,,YES,YES,YES
2024,,,,,,,,YES,YES,YES
2025,,,,,,,,YES,YES,YES
2026,,,,,,,,NO,MISSING,NO
2027,,,,,,,,YES,YES,YES
2028,,,,,,,,YES,YES,YES
2029,,,,,,,,YES,YES,YES
2030,,,,,,,,YES,YES,YES
2031,,,,,,,,NO,MISSING,NO
2032,,,,,,,,MISSING,YES,YES
2033,,,,,,,,MISSING,YES,YES
2034,,,,,,,,NO,MISSING,NO
2035,,,,,,,,NO,MISSING,NO
2036,,,,,,,,YES,YES,YES
2037,,,,,,,,MISSING,MISSING,NO
2038,,,,,,,,NO,MISSING,NO
2039,,,,,,,,YES,YES,YES
2040,,,,,,,,MISSING,YES,YES
2041,,,,,,,,YES,YES,YES
2042,,,,,,,,YES,YES,YES
2043,,,,,,,,YES,YES,YES
2044,,,,,,,,YES,YES,YES
2045,,,,,,,,YES,YES,YES
2046,,,,,,,,YES,YES,YES
2047,,,,,,,,YES,YES,YES
2048,,,,,,,,YES,YES,YES
2049,,,,,,,,YES,YES,YES
2050,,,,,,,,YES,YES,YES
2051,,,,,,,,YES,YES,YES
2052,,,,,,,,YES,YES,YES
2053,,,,,,,,YES,YES,YES
2054,,,,,,,,YES,YES,YES
2055,,,,,,,,NO,MISSING,NO
2056,,,,,,,,MISSING,MISSING,NO
2057,,,,,,,,YES,YES,YES
2058,,,,,,,,YES,YES,YES
2059,,,,,,,,YES,YES,YES
2060,,,,,,,,NO,MISSING,NO
2061,,,,,,,,NO,NO,NO
2062,,,,,,,,NO,NO,NO
2063,,,,,,,,NO,YES,YES
2064,,,,,,,,NO,NO,NO
2065,,,,,,,,YES,YES,YES
2066,,,,,,,,YES,YES,YES
2067,,,,,,,,NO,MISSING,NO
2068,,,,,,,,NO,MISSING,NO
2069,,,,,,,,YES,YES,YES
2070,,,,,,,,YES,YES,YES
2071,,,,,,,,NO,NO,NO
2072,,,,,,,,YES,YES,YES
2073,,,,,,,,YES,YES,YES
2074,,,,,,,,MISSING,MISSING,NO
2075,,,,,,,,YES,YES,YES
2076,,,,,,,,YES,YES,YES
2077,,,,,,,,YES,YES,YES
2078,,,,,,,,MISSING,MISSING,NO
2079,,,,,,,,YES,YES,YES
2080,,,,,,,,YES,YES,YES
2081,,,,,,,,MISSING,YES,YES
2082,,,,,,,,YES,YES,YES
2083,,,,,,,,YES,YES,YES
