,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
2446,,,,,,,,YES,YES,YES
2447,,,,,,,,YES,YES,YES
2448,,,,,,,,MISSING,YES,YES
2449,,,,,,,,YES,YES,YES
2450,,,,,,,,YES,YES,YES
2451,,,,,,,,YES,YES,YES
2452,,,,,,,,NO,MISSING,NO
2453,,,,,,,,MISSING,YES,YES
2454,,,,,,,,YES,YES,YES
2455,,,,,,,,MISSING,MISSING,NO
2456,,,,,,,,YES,YES,YES
2457,,,,,,,,MISSING,YES,YES
2458,,,,,,,,MISSING,YES,YES
2459,,,,,,,,YES,YES,YES
2460,,,,,,,,NO,NO,NO
2461,,,,,,,,YES,YES,YES
2462,,,,,,,,YES,YES,YES
2463,,,,,,,,MISSING,MISSING,NO
