CAS,Deprecated CAS
77-92-9,"1192555-95-5, 12262-73-6, 136108-93-5, 2023788-69-2, 245654-34-6, 43136-35-2, 623158-96-3, 856568-15-5, 878903-72-1, 890704-54-8, 896506-46-0, 906507-37-7, 1192555-95-5, 136108-93-5, 2023788-69-2, 245654-34-6, 43136-35-2, 623158-96-3, 856568-15-5, 878903-72-1, 890704-54-8, 896506-46-0, 906507-37-7"
15686-51-8,
"25122-41-2, 25122-46-7",
637-07-0,
8007-45-2,"8050-41-7, 8050-43-9, 8055-92-3, 8050-43-9, 8055-92-3"
"76-57-3, 6059-47-8",
"67-97-0, 1406-16-2, 8050-67-7","8024-19-9, 8050-67-7, 8050-67-7"
9007-34-5,"157970-72-4, 55963-88-7, 92113-30-9, 93685-58-6, 55963-88-7, 92113-30-9, 93685-58-6"
"9002-60-2, 12427-33-7","55127-96-3, 8049-37-4, 8049-43-2, 8049-68-1, 8049-86-3, 8049-87-4, 9006-61-5, 9040-10-2, 11002-79-2"
"57-00-1, 6020-87-7",2087491-49-2
548-62-9,"23355-47-7, 7077-31-8, 7077-31-8"
"50-18-0, 6055-19-2","60007-95-6, 75526-90-8, 60007-95-6"
68-41-7,
50-76-0,"1402-58-0, 1421227-25-9"
9041-08-1,"101921-26-0, 102785-31-9, 12656-11-0, 913079-23-9"
108-01-0,"116134-09-9, 1404326-81-3, 156681-25-3, 116134-09-9"
"70-51-9, 1950-39-6",7278-84-4
83-44-3,728917-93-9
50-47-5,
"50-02-2, 23495-06-9","1050677-47-8, 137098-19-2, 8054-59-9, 906362-70-7, 906422-84-2, 1050677-47-8, 137098-19-2, 8054-59-9, 906422-84-2"
"117-96-4, 50978-11-5",
439-14-5,"11100-37-1, 53320-84-6"
"15307-86-5, 78213-16-8",
"84-17-3, 13029-44-2, 84-19-5",22090-87-5
"134-62-3, 26545-51-7",94271-03-1
20830-75-5,"11000-95-6, 36-35-1, 39366-41-1, 8001-36-3, 8001-37-4, 8001-52-3, 82476-60-6, 36-35-1, 39366-41-1, 8001-36-3, 8001-37-4, 8001-52-3, 82476-60-6"
"624-49-7, 23055-10-9, 152443-03-3",1017900-75-2
"58-73-1, 147-24-0",2226543-89-9
"50-21-5, 598-82-3, 26100-51-6","1334714-39-4, 152-36-3, 598-82-3, 1334714-39-4, 598-82-3, 849585-22-4"
"6217-54-5, 25167-62-8","1005411-64-2, 1008399-82-3, 1024594-51-1, 231610-51-8, 25377-50-8, 664303-42-8, 952411-45-9"
"6217-54-5, 25167-62-8","1005411-64-2, 1008399-82-3, 1024594-51-1, 231610-51-8, 25377-50-8, 664303-42-8, 952411-45-9"
148016-81-3,
"1972-08-3, 6465-30-1","1363-19-5, 14146-29-3, 14146-43-1, 26108-45-2, 5957-27-7"
N/A,
"116539-59-4, 136434-34-9",
1201438-56-3,
N/A,
N/A,
"139-33-3, 60-00-4, 688-55-1, 15954-91-3, 6381-92-6, 62-33-9","13440-78-3, 1586747-13-8, 161122-33-4, 1799367-75-1, 2024587-69-5, 20539-27-9, 26627-46-3, 30485-87-1, 30485-88-2, 30485-90-6, 32757-10-1, 402925-67-1, 675141-16-9, 94108-75-5, 13440-78-3, 161122-33-4, 20539-27-9, 26627-46-3, 30485-87-1, 30485-88-2, 30485-90-6, 32757-10-1, 402925-67-1, 94108-75-5"
"1069-31-4, 70052-12-9",67037-37-0
1709815-23-5,
679809-58-6,
N/A,
1207283-85-9,
"7704-67-8, 643-22-1, 114-07-8, 82343-12-2, 215031-94-0, 5442-22-8, 7540-22-9",374700-25-1
"50-28-2, 17916-67-5, 57-91-0","1050677-52-5, 1206475-11-7, 873662-39-6, 1050677-52-5, 1206475-11-7"
"53-16-7, 19973-76-3",37242-41-4
"53-16-7, 19973-76-3",37242-41-4
"141-43-5, 12220-07-4, 12220-09-6, 9007-33-4","2122854-11-7, 2169804-94-6, 9007-33-4, 9007-33-4"
57-63-6,"1050678-65-3, 406932-93-2, 77538-56-8, 406932-93-2, 77538-56-8"
536-33-4,5261-38-1
"37225-26-6, 107-21-1, 25322-68-3, 3775-85-7","1371582-33-0, 2088100-90-5, 37221-95-7, 71767-64-1, 849688-22-8, 37221-95-7, 71767-64-1"
33125-97-2,
"308064-97-3, 90028-66-3",
458-24-2,"25990-46-9, 5220-89-3"
42017-89-0,
121181-53-1,
67-73-2,
"59-30-3, 6484-89-5, 112339-08-9, 112339-32-9","11096-55-2, 33609-88-0"
N/A,
N/A,
"522-40-7, 13425-53-1, 5965-09-3",
"110-17-8, 26099-09-2, 6915-18-0, 498-24-8, 123548-45-8","623158-97-4, 909873-99-0, 623158-97-4"
131410-48-5,
N/A,
N/A,
"526-95-4, 19222-41-4, 133-42-6, 10024-51-8, 10361-31-6","723724-74-1, 880385-91-1, 887830-55-9"
