CAS,Deprecated CAS
"153-18-4, 1340-08-5, 207671-50-9, 250249-75-3","115888-40-9, 1296849-98-3, 1416-01-9, 146525-66-8, 158560-09-9, 164535-43-7, 18449-50-8, 48197-72-4, 523994-24-3, 56764-99-9, 115888-40-9, 1296849-98-3, 146525-66-8, 158560-09-9, 164535-43-7, 18449-50-8, 48197-72-4, 523994-24-3, 56764-99-9"
"128-44-9, 81-07-2","126987-83-5, 474-91-9, 61255-27-4, 890126-34-8, 1792234-08-2, 38279-26-4"
18559-94-9,35763-26-9
"9007-12-9, 47931-85-1, 135506-95-5",
"65-45-2, 121-30-2",
N/A,
"51-34-3, 114-49-8","14797-94-5, 226562-00-1, 28901-63-5, 58670-87-4, 65319-33-7, 97991-84-9, 226562-00-1, 28901-63-5, 58670-87-4, 65319-33-7, 97991-84-9"
N/A,
1393-25-5,9002-77-1
"8013-11-4, 517-43-1, 81-27-6, 85085-71-8, 62211-03-4",
"56-45-1, 302-84-1, 6898-95-9","154605-73-9, 6898-95-9"
50-67-9,
52757-95-6,"198342-66-4, 224313-14-8, 224313-14-8"
"14464-46-1, 61790-53-2, 91053-39-3, 112945-52-5, 112926-00-8, 60676-86-0, 7631-86-9, 68855-54-9, 14639-89-5, 14808-60-7, 13778-37-5, 15468-32-3, 20243-18-9, 13778-38-6, 17679-64-0, 92283-58-4, 99439-28-8, 11126-22-0, 121375-93-7","1004994-79-9, 1006727-26-9, 1007355-41-0, 102381-58-8, 1065194-86-6, 107497-59-6, 108727-71-5, 11139-72-3, 11139-73-4, 113384-41-1, 1151767-34-8, 1206890-01-8, 12125-13-2, 122985-48-2, 125623-17-8, 1259281-12-3, 1262535-72-7, 126879-14-9, 126879-30-9, 126879-49-0, 12737-36-9, 12753-63-8, 12765-74-1, 127689-16-1, 12774-28-6, 127831-27-0, 1340-09-6, 1354383-62-2, 136303-13-4, 1364664-19-6, 1365618-91-2, 1367454-14-5, 136881-80-6, 137263-03-7, 1373553-98-0, 1377807-27-6, 1384115-98-3, 138860-82-9, 139074-73-0, 1396528-08-7, 1431704-97-0, 1431704-98-1, 1431705-01-9, 145537-54-8, 145686-91-5, 145808-77-1, 146585-72-0, 1474086-62-8, 149779-02-2, 150633-20-8, 152206-35-4, 152787-33-2, 155552-25-3, 155575-05-6, 1675960-65-2, 1678497-74-9, 171264-18-9, 172306-09-1, 173299-41-7, 173358-69-5, 179046-03-8, 1844839-43-5, 184654-53-3, 1848955-43-0, 185461-90-9, 188357-77-9, 191289-29-9, 1933499-98-9, 203526-86-7, 2067262-90-0, 206770-31-2, 207868-97-1, 2095803-93-1, 2098352-97-5, 2098352-98-6, 2098352-99-7, 2098354-30-2, 2135813-99-7, 2148930-88-3, 2170638-70-5, 2174974-17-3, 2174974-56-0, 217643-58-8, 2215023-93-9, 2215943-42-1, 2226478-11-9, 2300155-82-0, 231629-15-5, 2409669-48-1, 2412595-05-0, 2412795-58-3, 2413104-54-6, 2435623-01-9, 2454600-76-9, 247900-77-2, 250579-70-5, 250579-78-3, 264907-28-0, 2699030-77-6, 330152-64-2, 341028-71-5, 368432-40-0, 37220-24-9, 37241-25-1, 37334-65-9, 37340-45-7, 37380-93-1, 39336-66-8, 39372-58-2, 39409-25-1, 39443-40-8, 39456-81-0, 402735-49-3, 402828-37-9, 402828-39-1, 402828-40-4, 50813-13-3, 50926-93-7, 50935-83-6, 51542-57-5, 51542-58-6, 52350-43-3, 53468-64-7, 55599-33-2, 56645-27-3, 56731-06-7, 573986-27-3, 574743-92-3, 60572-11-4, 61673-46-9, 62655-73-6, 636575-18-3, 67167-16-2, 70536-23-1, 70536-61-7, 70563-35-8, 736175-62-5, 761458-29-1, 781662-69-9, 78207-17-7, 83589-56-4, 83652-92-0, 865611-44-5, 871110-01-9, 87501-59-5, 89493-21-0, 895163-77-6, 900794-70-9, 9049-77-8, 910556-60-4, 916674-46-9, 942129-91-1, 97343-62-9, 97709-14-3, 98226-40-5, 98253-25-9, 105269-70-3, 1317-48-2, 122304-48-7, 122304-49-8, 12425-26-2, 1317-79-9, 70594-95-5, 87347-84-0, 119573-97-6, 1355213-18-1, 1417404-62-6, 221007-06-3, 37224-34-3, 37224-35-4, 55126-05-1, 942229-17-6, 67256-35-3, 1004994-79-9, 1006727-26-9, 1007355-41-0, 102381-58-8, 1065194-86-6, 107497-59-6, 108727-71-5, 11139-72-3, 11139-73-4, 113384-41-1, 1151767-34-8, 1206890-01-8, 12125-13-2, 122985-48-2, 125623-17-8, 1259281-12-3, 1262535-72-7, 126879-14-9, 126879-30-9, 126879-49-0, 12737-36-9, 12753-63-8, 12765-74-1, 127689-16-1, 12774-28-6, 127831-27-0, 1340-09-6, 1354383-62-2, 136303-13-4, 1364664-19-6, 1365618-91-2, 1367454-14-5, 136881-80-6, 137263-03-7, 1373553-98-0, 1377807-27-6, 1384115-98-3, 138860-82-9, 139074-73-0, 1396528-08-7, 1431704-97-0, 1431704-98-1, 1431705-01-9, 145537-54-8, 145686-91-5, 145808-77-1, 146585-72-0, 1474086-62-8, 149779-02-2, 150633-20-8, 152206-35-4, 152787-33-2, 155552-25-3, 155575-05-6, 1675960-65-2, 1678497-74-9, 171264-18-9, 172306-09-1, 173299-41-7, 173358-69-5, 179046-03-8, 1819971-25-9, 1844839-43-5, 184654-53-3, 1848955-43-0, 185461-90-9, 188357-77-9, 191289-29-9, 1933499-98-9, 194944-70-2, 203526-86-7, 2067262-90-0, 206770-31-2, 207868-97-1, 2095803-93-1, 2098352-97-5, 2098352-98-6, 2098352-99-7, 2098354-30-2, 2135813-99-7, 2148930-88-3, 2170638-70-5, 2174974-17-3, 2174974-56-0, 2215023-93-9, 2215943-42-1, 2226478-11-9, 2300155-82-0, 2409669-48-1, 2412595-05-0, 2412795-58-3, 2413104-54-6, 2435623-01-9, 2454600-76-9, 2699030-77-6, 2756971-14-7, 2883522-94-7, 2940870-12-0, 2952810-94-3, 37220-24-9, 37241-25-1, 37334-65-9, 37340-45-7, 37380-93-1, 39336-66-8, 39372-58-2, 39409-25-1, 39443-40-8, 39456-81-0, 50813-13-3, 50926-93-7, 50935-83-6, 51542-57-5, 51542-58-6, 52350-43-3, 53468-64-7, 55599-33-2, 56645-27-3, 56731-06-7, 573986-27-3, 574743-92-3, 60572-11-4, 61673-46-9, 62655-73-6, 636575-18-3, 67167-16-2, 70536-23-1, 70536-61-7, 70563-35-8, 736175-62-5, 761458-29-1, 781662-69-9, 78207-17-7, 83589-56-4, 83652-92-0, 865611-44-5, 871110-01-9, 87501-59-5, 89493-21-0, 895163-77-6, 900794-70-9, 9049-77-8, 910556-60-4, 916674-46-9, 942129-91-1, 97343-62-9, 97709-14-3, 98226-40-5, 98253-25-9, 11139-66-5, 12623-98-2, 12750-99-1, 179530-11-1, 192230-56-1, 29847-98-1, 37264-95-2, 37328-66-8, 37337-67-0, 39421-62-0, 39455-02-2, 476646-87-4, 50814-24-9, 51109-72-9, 53571-43-0, 54511-18-1, 54990-61-3, 54990-62-4, 55839-10-6, 56748-40-4, 57126-63-3, 57692-84-9, 61970-41-0, 64060-29-3, 67016-73-3, 67417-47-4, 68368-75-2, 68445-07-8, 693252-59-4, 695179-75-0, 70225-81-9, 73158-38-0, 77108-41-9, 81988-94-5, 1004994-79-9, 1006727-26-9, 1007355-41-0, 107497-59-6, 108727-71-5, 11139-72-3, 11139-73-4, 113384-41-1, 1151767-34-8, 12125-13-2, 122985-48-2, 125623-17-8, 126879-14-9, 126879-30-9, 126879-49-0, 12737-36-9, 12753-63-8, 12765-74-1, 127689-16-1, 12774-28-6, 127831-27-0, 1340-09-6, 1354383-62-2, 136303-13-4, 1365618-91-2, 136881-80-6, 137263-03-7, 1373553-98-0, 1377807-27-6, 138860-82-9, 139074-73-0, 1396528-08-7, 145537-54-8, 145686-91-5, 145808-77-1, 146585-72-0, 149779-02-2, 150633-20-8, 152206-35-4, 152787-33-2, 155552-25-3, 155575-05-6, 171264-18-9, 172306-09-1, 173299-41-7, 179046-03-8, 184654-53-3, 185461-90-9, 188357-77-9, 191289-29-9, 203526-86-7, 206770-31-2, 207868-97-1, 217643-58-8, 231629-15-5, 247900-77-2, 250579-70-5, 250579-78-3, 264907-28-0, 330152-64-2, 341028-71-5, 368432-40-0, 37220-24-9, 37241-25-1, 37334-65-9, 37340-45-7, 37380-93-1, 39336-66-8, 39372-58-2, 39409-25-1, 39443-40-8, 39456-81-0, 402735-49-3, 402828-37-9, 402828-39-1, 402828-40-4, 50813-13-3, 50926-93-7, 50935-83-6, 51542-57-5, 51542-58-6, 52350-43-3, 53468-64-7, 55599-33-2, 56731-06-7, 573986-27-3, 574743-92-3, 60572-11-4, 61673-46-9, 62655-73-6, 636575-18-3, 67167-16-2, 70536-23-1, 70536-61-7, 70563-35-8, 761458-29-1, 781662-69-9, 78207-17-7, 83589-56-4, 83652-92-0, 865611-44-5, 871110-01-9, 87501-59-5, 89493-21-0, 895163-77-6, 900794-70-9, 9049-77-8, 910556-60-4, 916674-46-9, 942129-91-1, 97343-62-9, 97709-14-3, 98226-40-5, 98253-25-9, 63231-67-4; 14808-60-7"
"65666-07-1, 84604-20-6",
"110-44-1, 22500-92-1, 91751-55-2","1197240-56-4, 91751-55-2, 1197240-56-4, 2747926-89-0, 91751-55-2, 22500-92-1, 91751-55-2"
"50-70-4, 98201-93-5","15060-73-8, 36134-87-9, 3959-53-3, 63800-20-4, 75398-79-7, 8013-15-8, 8014-89-9, 8036-93-9, 8042-39-5, 8045-74-7, 8046-05-7, 952319-42-5, 98201-93-5, 15060-73-8, 36134-87-9, 3959-53-3, 63800-20-4, 8013-15-8, 8014-89-9, 8036-93-9, 8042-39-5, 8045-74-7, 8046-05-7, 952319-42-5, 98201-93-5"
"1695-77-8, 21736-83-4, 22189-32-8",
52-01-7,"1050678-93-7, 1436392-20-9, 496916-40-6, 496916-40-6"
N/A,
"9000-36-6, 91671-85-1","794527-37-0, 9010-26-8"
"68-35-9, 22199-08-2",141582-64-1
"723-46-6, 144930-01-8, 144993-89-5",129378-89-8
"7704-34-9, 56996-94-2, 9035-99-8, 10544-50-0","1251749-91-3, 12673-82-4, 12684-31-0, 12767-24-7, 1819329-88-8, 56449-52-6, 56591-09-4, 56645-30-8, 57035-13-9, 63705-05-5, 7782-45-8, 8050-82-6, 81032-32-8, 97124-07-7, 12684-31-0, 12767-24-7, 56449-52-6, 56591-09-4, 56645-30-8, 57035-13-9, 63705-05-5, 7782-45-8, 8050-82-6, 81032-32-8, 97124-07-7, 7704-34-9"
"171596-29-5, 171596-27-3",
10540-29-1,
106133-20-4,
"133-37-9, 868-14-4, 147-71-7, 526-83-0","138508-61-9, 35-04-1, 6381-58-4"
197922-42-2,287714-30-1
"145158-71-0, 189188-57-6",1044642-88-7
968-93-4,
"58-55-9, 5967-84-0","1024160-72-2, 111079-49-3, 46157-00-0, 56645-32-0, 75448-53-2, 111079-49-3, 46157-00-0, 75448-53-2"
"1077-28-7, 62-46-4","27779-68-6, 62-46-4, 27779-68-6"
"19387-91-8, 148159-84-6, 25459-12-5",
"3313-26-6, 5591-45-7, 49746-04-5",
"32986-56-4, 11048-13-8, 62169-70-4, 79645-27-5","11098-01-4, 11111-45-8, 34337-51-4, 37321-13-4, 54330-95-9, 70322-33-7"
64-77-7,100735-34-0
180288-69-1,
81846-19-7,
"302-79-4, 97950-17-9, 5300-03-8","187175-63-9, 56573-65-0, 7005-78-9, 56573-65-0, 7005-78-9"
133-67-5,96782-89-7
76-03-9,
101-20-2,
738-70-5,
52128-35-5,
"486-12-4, 550-70-9",
47608-32-2,
72-57-1,179472-55-0
9002-07-7,"146990-35-4, 213972-07-7, 214265-38-0, 9068-82-0, 146990-35-4, 214265-38-0, 9068-82-0"
"303-98-0, 4916-59-0","13448-14-1, 55127-92-9, 55870-43-4, 55127-92-9, 55870-43-4"
"112-38-9, 1333-28-4, 96451-28-4",949900-17-8
181695-72-7,
175865-60-8,
121-33-5,"52447-63-9, 8014-42-4"
N/A,
"1406-18-4, 59-02-9","121854-78-2, 18920-62-2, 2484908-93-0, 364-49-8, 11105-14-9"
127-40-2,"1407-74-5, 148124-35-0, 25312-96-3, 28368-07-2, 34026-62-5, 34445-91-5"
"9068-42-2, 9025-57-4, 7554-16-7",
30516-87-1,399024-19-2
