New CAS,New Deprecated CAS
"9004-34-6, 99331-82-5, 9013-34-7","1161712-52-2, 12656-52-9, 137261-76-8, 1374408-52-2, 152231-69-1, 1621420-37-8, 1873279-80-1, 189398-86-5, 196316-75-3, 209533-95-9, 2095812-59-0, 2243384-02-1, 2243384-04-3, 231290-83-8, 2409008-33-7, 2618568-52-6, 2799647-31-5, 324745-49-5, 358787-62-9, 39394-43-9, 51395-76-7, 58968-67-5, 61991-21-7, 61991-22-8, 67016-75-5, 67016-76-6, 68073-05-2, 70225-79-5, 74623-16-8, 75398-83-3, 77907-70-1, 84503-75-3, 89468-66-6, 9012-19-5, 9037-50-7, 906542-14-1, 9076-30-6, 99331-82-5"
1801342-60-8,1859072-60-8
N/A,
N/A,
"5466-77-3, 83834-59-7","1202568-70-4, 155867-04-2, 155867-04-2"
1032900-25-6,1431456-10-8
"7440-45-1, 13864-02-3","110123-49-4, 196959-41-8"
145599-86-6,
151662-36-1,"227604-61-7, 227951-49-7"
428863-50-7,"1132819-27-2, 339184-10-0"
10328-34-4,"21396-54-3, 51895-89-7"
83881-51-0,
"8044-71-1, 505-86-2",
"120287-85-6, 130289-71-3, 130143-01-0",
205923-56-4,
7773-52-6,
"107233-08-9, 1035535-90-0",
16291-96-6,"1333-85-3, 944340-46-9, 944340-46-9"
N/A,
N/A,
302-17-0,"109128-19-0, 1178760-67-2"
305-03-3,
"56-75-7, 2787-09-9, 118573-58-3","137731-90-9, 15313-32-3, 55172-72-0, 59112-59-3, 85666-84-8"
82-93-9,
58-25-3,
N/A,
"55-56-1, 3697-42-5","111883-36-4, 1520991-69-8, 328933-19-3"
7782-50-5,
51-75-2,
"57-15-8, 1320-66-7, 28471-22-9, 6001-64-5, 5398-52-7",
75-00-3,
"67-66-3, 3170-80-7",8013-54-5
1406-65-1,
N/A,
133-16-4,
54-05-7,56598-66-4
58-94-6,
89-68-9,
773-76-2,
"88-04-0, 1321-23-9","1333-35-3, 29990-32-7"
"25523-97-1, 113-92-8, 132-22-9","42882-96-2, 46970-45-0"
104-29-0,
"50-53-3, 34468-21-8",
94-20-2,
77-36-1,
95-25-0,32850-84-3
"57-88-5, 9061-77-2, 1059-85-4, 22243-67-0","2016865-06-6, 209124-38-9, 218965-24-3, 2363129-31-9, 262418-13-3, 378185-03-6, 676322-57-9, 732297-95-9, 793670-51-6, 80356-14-5, 80356-33-8, 849593-11-9, 856708-55-9, 71539-33-8, 2016865-06-6, 209124-38-9, 218965-24-3, 2363129-31-9, 262418-13-3, 2760344-17-8, 2761910-55-6, 378185-03-6, 676322-57-9, 732297-95-9, 793670-51-6, 80356-14-5, 80356-33-8, 849593-11-9, 856708-55-9, 209124-38-9, 218965-24-3, 262418-13-3, 378185-03-6, 676322-57-9, 732297-95-9, 793670-51-6, 80356-14-5, 80356-33-8, 849593-11-9, 856708-55-9"
N/A,
"62-49-7, 5413-08-1","139741-81-4, 2087491-45-8, 139741-81-4, 2072809-41-5, 2087491-45-8"
856676-23-8,1034151-05-7
"58-55-9, 5967-84-0","1024160-72-2, 111079-49-3, 46157-00-0, 56645-32-0, 75448-53-2, 111079-49-3, 46157-00-0, 75448-53-2"
N/A,
24967-94-0,"11120-35-7, 11129-22-9, 11129-23-0, 177697-01-7, 42616-56-8, 9045-59-4, 9083-19-6"
9000-07-1,"717132-67-7, 773852-40-7, 78005-48-8, 8040-42-4, 9000-13-9, 9000-27-5"
177073-44-8,9002-61-3
9002-61-3,
"7440-47-3, 19498-56-7","188785-87-7, 195161-82-1, 195161-82-1"
480-40-0,
"126544-47-6, 141845-82-1",141845-82-1
29342-05-0,
"59865-13-3, 79217-60-0","104250-72-8, 223528-56-1, 55126-45-9, 56645-58-0"
"113852-37-2, 149394-66-1",
"82009-34-5, 81129-83-1",
73963-72-1,89332-50-3
51481-61-9,
N/A,
226256-56-0,
85-79-0,
"470-82-6, 8024-53-1","10458-11-4, 8024-52-0, 8024-53-1, 855347-23-8, 10458-11-4, 8024-53-1, 855347-23-8"
N/A,
90-86-8,
N/A,
N/A,
N/A,
N/A,
28657-80-9,
"104-28-9, 83834-60-0",1322-65-2
85721-33-1,"1234562-12-9, 189257-90-7"
"81098-60-4, 260779-88-2",86718-68-5
96946-42-8,
"15663-27-1, 26035-31-4, 14913-33-8",
N/A,
59729-33-8,
987-78-0,
77-92-9,"1192555-95-5, 12262-73-6, 136108-93-5, 2023788-69-2, 245654-34-6, 43136-35-2, 623158-96-3, 856568-15-5, 878903-72-1, 890704-54-8, 896506-46-0, 906507-37-7, 1192555-95-5, 136108-93-5, 2023788-69-2, 245654-34-6, 43136-35-2, 623158-96-3, 856568-15-5, 878903-72-1, 890704-54-8, 896506-46-0, 906507-37-7"
8000-29-1,
372-75-8,
N/A,
N/A,
N/A,
90045-43-5,
N/A,
N/A,
N/A,
4291-63-8,24757-90-2
"81103-11-9, 116836-41-0",
N/A,
58001-44-8,
"12141-46-7, 1302-87-0","1237627-97-2, 1260223-11-7, 12758-14-4, 1399049-88-7, 1433820-22-4, 167952-93-4, 2172796-02-8, 2241363-26-6, 2305669-95-6, 55012-98-1, 848952-50-1"
15686-51-8,
"167221-71-8, 166432-28-6",166432-28-6
7020-55-5,
"18323-44-9, 58207-19-5","13441-63-9, 16669-21-9, 24620-78-8, 24696-19-3"
130-26-7,"22112-03-4, 736176-41-3, 736176-41-3"
22316-47-8,
"25122-41-2, 25122-46-7",
"4828-27-7, 34097-16-0",
123318-82-1,
2030-63-9,
791-35-5,
637-07-0,
"15690-55-8, 911-45-5",
303-49-1,83162-38-3
1622-61-3,106955-87-7
4205-90-7,57066-25-8
"113665-84-2, 90055-48-4","120202-73-5, 94188-84-8"
"23887-31-2, 57109-90-7","20432-69-3, 28425-34-5, 149128-42-7, 28425-34-5"
N/A,
N/A,
23593-75-1,117829-71-7
"61-72-3, 642-78-4, 7081-44-9","50763-55-8, 8056-79-9"
130-16-5,
"5786-21-0, 1333667-72-3",1333667-72-3
N/A,
8007-45-2,"8050-41-7, 8050-43-9, 8055-92-3, 8050-43-9, 8055-92-3"
"7440-48-4, 16610-75-6","1245817-40-6, 1262528-32-4, 132965-60-7, 177256-35-8, 184637-91-0, 195161-79-6, 335349-43-4, 177256-35-8, 184637-91-0, 195161-79-6"
13870-90-1,
1004316-88-4,
934660-93-2,1029872-29-4
50-36-2,
N/A,N/A
"154-87-0, 136-08-3","55056-45-6, 74992-00-0, 902463-63-2, 55056-45-6, 902463-63-2"
124-87-8,
N/A,
"76-57-3, 6059-47-8",
N/A,
8001-69-2,68153-03-7
N/A,
N/A,
N/A,
N/A,
64-86-8,"30512-31-3, 5843-86-7, 30512-31-3"
"67-97-0, 1406-16-2, 8050-67-7","8024-19-9, 8050-67-7, 8050-67-7"
182815-43-6,
"50925-79-6, 26658-42-4",
N/A,
"66575-29-9, 66428-89-5","72569-68-7, 64657-11-0"
63-89-8,875249-75-5
"1066-17-7, 1264-72-8",
9007-34-5,"157970-72-4, 55963-88-7, 92113-30-9, 93685-58-6, 55963-88-7, 92113-30-9, 93685-58-6"
9001-12-1,"106043-70-3, 308064-64-4, 39433-96-0"
9001-12-1,"106043-70-3, 308064-64-4, 39433-96-0"
N/A,N/A
N/A,
N/A,
N/A,
N/A,
N/A,
80295-38-1,81295-50-3
N/A,
210101-16-9,
N/A,
"69-72-7, 8042-60-2","1186130-36-8, 7681-06-3, 8052-31-1, 1186130-36-8, 8052-31-1"
1032568-63-0,
7440-50-8,"133353-46-5, 133353-47-6, 1441640-38-5, 195161-80-9, 1993435-25-8, 2056901-56-3, 2432029-48-4, 2702957-29-5, 65555-90-0, 72514-83-1, 133353-46-5, 133353-47-6, 195161-80-9, 72514-83-1"
"829-74-3, 74812-63-8","13725-11-6, 16906-83-5, 34535-70-1"
N/A,
N/A,
N/A,
86784-80-7,86297-72-5
"9002-60-2, 12427-33-7","55127-96-3, 8049-37-4, 8049-43-2, 8049-68-1, 8049-86-3, 8049-87-4, 9006-61-5, 9040-10-2, 11002-79-2"
53-06-5,
N/A,
N/A,
"616-91-1, 7218-04-4","1261105-20-7, 7696-05-1"
N/A,
N/A,
"57-00-1, 6020-87-7",2087491-49-2
"60-27-5, 62708-52-5","15231-31-9, 45514-66-7, 82016-55-5, 15231-31-9, 82016-55-5"
"8001-58-9, 8021-39-4",
906673-24-3,"1073669-75-6, 1187189-21-4"
877399-52-5,912279-98-2
148465-45-6,
16110-51-3,
N/A,
124236-29-9,
"76-14-2, 76-14-2
1320-37-2 (mixed isomers), 76-14-2, 1320-37-2 (mixed isomers)",
N/A,
472-70-8,
548-62-9,"23355-47-7, 7077-31-8, 7077-31-8"
N/A,
N/A,
N/A,
"458-37-7, 8024-37-1, 94875-80-6","15845-47-3, 2103286-06-0, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 15845-47-3, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5"
"458-37-7, 8024-37-1, 94875-80-6","15845-47-3, 2103286-06-0, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 15845-47-3, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5"
"68-19-9, 13408-78-1","11037-08-4, 24436-34-8, 8023-26-5, 8039-03-0"
456-59-7,"28283-32-1, 54110-27-9, 28283-32-1"
82-92-8,
303-53-7,
69430-24-6,
541-02-6,
512-15-2,
"50-18-0, 6055-19-2","60007-95-6, 75526-90-8, 60007-95-6"
68-41-7,
N/A,
"129-03-3, 41354-29-4",
"52-90-4, 3374-22-9","1404190-35-7, 154605-72-8, 4371-52-2, 154605-72-8, 4371-52-2"
"56-89-3, 923-32-0","154605-69-3, 24645-67-8, 24645-67-8"
N/A,
"147-94-4, 69-74-9",
10326-41-7,
211915-06-9,
1195765-45-7,
4342-03-4,37626-23-6
1009119-64-5,
152923-56-3,
1110813-31-4,1006885-28-4
50-76-0,"1402-58-0, 1421227-25-9"
94349-98-1,
N/A,
171500-79-1,247175-55-9
112362-50-2,
9041-08-1,"101921-26-0, 102785-31-9, 12656-11-0, 913079-23-9"
1363853-26-2,
N/A,
17230-88-5,
7261-97-4,833480-90-3
117-10-2,"32073-07-7, 343235-40-5"
461432-26-8,
72822-12-9,
80-08-0,1246638-15-2
103060-53-3,
945721-28-8,
209810-58-2,
133099-04-4,
206361-99-1,"1097732-88-1, 618109-00-5"
1132935-63-7,1221573-79-0
"302962-49-8, 863127-77-9",
N/A,
20830-81-3,"11006-54-5, 11048-29-6, 1407-15-4, 149541-57-1, 182250-71-1, 23942-76-9, 27576-81-4, 28020-80-6, 11006-54-5, 11048-29-6, 1407-15-4, 149541-57-1, 23942-76-9, 28020-80-6"
108-01-0,"116134-09-9, 1404326-81-3, 156681-25-3, 116134-09-9"
334-48-5,
"2353-33-5, 22432-95-7","105597-46-4, 123795-43-7"
N/A,N/A
201530-41-8,
30652-11-0,
"70-51-9, 1950-39-6",7278-84-4
"83712-60-1, 1118915-78-8",
14484-47-0,74712-90-6
214766-78-6,
189279-58-1,579508-20-6
136817-59-9,
"16505-84-3, 56-94-0",
"127-33-3, 64-73-3","16204-02-7, 8059-70-9"
"173146-27-5, 1393970-37-0",
615258-40-7,847987-83-1
"7631-97-2, 10163-15-2",
N/A,
83-44-3,728917-93-9
N/A,
N/A,
N/A,
N/A,
131-01-1,
57041-67-5,
50-47-5,
120993-53-5,
100643-71-8,
16679-58-6,
54024-22-5,
638-94-8,
"140218-14-0, 382-67-2",
93413-62-8,
1392826-25-3,
"50-02-2, 23495-06-9","1050677-47-8, 137098-19-2, 8054-59-9, 906362-70-7, 906422-84-2, 1050677-47-8, 137098-19-2, 8054-59-9, 906422-84-2"
"51-64-9, 41820-21-7",
86-22-6,"156428-33-0, 32188-07-1, 32188-07-1"
25523-97-1,"12167-38-3, 301-24-6"
138530-94-6,
113775-47-6,
40431-64-9,
81-13-0,"1113-70-8, 17307-32-3, 50584-68-4, 17307-32-3"
24584-09-6,
9004-54-0,"11104-36-2, 11121-03-2, 12626-85-6, 128635-03-0, 1307300-43-1, 1415795-13-9, 37224-17-2, 60454-72-0, 86280-85-5, 9013-80-3, 9044-66-0, 911319-01-2"
56087-11-7,
9004-53-9,"100041-56-3, 129290-56-8, 133925-38-9, 152232-07-0, 185829-47-4, 199015-70-8, 2186634-06-8, 256933-14-9, 2983451-46-1, 37265-05-7, 37265-06-8, 650604-25-4, 74347-35-6, 753470-74-5, 9072-45-1"
125-71-3,"18046-32-7, 32062-10-5, 1469752-79-1, 32062-10-5"
"469-62-5, 77-50-9, 2621-61-6","8059-45-8, 21086-94-2, 3818-94-8, 3818-94-8"
51-49-0,
N/A,
N/A,
"117-96-4, 50978-11-5",
439-14-5,"11100-37-1, 53320-84-6"
78491-02-8,
364-98-7,1342899-70-0
480-30-8,
79-43-6,42428-47-7
75-71-8,"1256919-17-1, 185009-39-6, 62185-71-1"
"15307-86-5, 78213-16-8",
120-97-8,
3116-76-5,
66-76-2,
77-19-0,"104959-55-9, 856995-49-8, 104959-55-9"
69655-05-6,
"84-17-3, 13029-44-2, 84-19-5",22090-87-5
65928-58-7,
"56-53-1, 22610-99-7, 6898-97-1","8026-45-7, 8028-09-9, 8030-34-0, 8049-42-1, 8053-00-7"
"134-62-3, 26545-51-7",94271-03-1
28782-42-5,
2557-49-5,
22494-42-4,
23674-86-4,
71-63-6,"1339-93-1, 1367-39-1, 1391-34-0, 82476-56-0"
20830-75-5,"11000-95-6, 36-35-1, 39366-41-1, 8001-36-3, 8001-37-4, 8001-52-3, 82476-60-6, 36-35-1, 39366-41-1, 8001-36-3, 8001-37-4, 8001-52-3, 82476-60-6"
N/A,
125-28-0,
"511-12-6, 6190-39-2","11019-70-8, 1381-00-6, 17680-45-4, 26913-96-2, 29087-32-9, 409-63-2, 47842-41-1, 5965-22-0, 6016-53-1, 7762-45-0, 98302-70-6"
"6190-39-2, 11032-41-0",
67-96-9,"1369-89-7, 911-10-4"
96-26-4,
7047-84-9,3343-54-2
83-73-8,
"42399-41-7, 56209-45-1, 34933-06-7",
523-87-5,133294-22-1
1118-68-9,780741-89-1
"624-49-7, 23055-10-9, 152443-03-3",1017900-75-2
67-71-0,"1800084-98-3, 54841-73-5"
67-68-5,"1173018-42-2, 164071-41-4, 705301-21-9, 8070-53-9, 164071-41-4, 8070-53-9"
"63148-62-9, 107-51-7",1463470-58-7
"363-24-6, 22230-04-2",
"1363687-32-4, 1613303-02-8","339184-14-4, 1613303-02-8"
N/A,
520-27-4,"28680-33-3, 9000-18-4"
131-53-3,186100-79-8
"58-73-1, 147-24-0",2226543-89-9
915-30-0,
147-20-6,
52365-63-6,
479-18-5,"52756-53-3, 68350-70-9, 68350-70-9"
"25265-71-8, 110-98-5","25322-23-0, 27941-90-8, 27941-91-9, 28678-26-4, 30370-61-7, 75047-14-2, 78644-49-2"
58-32-2,
62013-04-1,
N/A,
"3737-09-5, 74464-83-8",
"67-63-0, 3958-66-5",8013-70-5
97-77-8,"11078-22-1, 155-01-1, 11078-22-1"
"1143-38-0, 480-22-8",480-22-8
N/A,
"50-21-5, 598-82-3, 26100-51-6","1334714-39-4, 152-36-3, 598-82-3, 1334714-39-4, 598-82-3, 849585-22-4"
34368-04-2,67230-43-7
"114977-28-5, 148408-66-6","129522-72-1, 216252-50-5, 216252-50-5"
"6217-54-5, 25167-62-8","1005411-64-2, 1008399-82-3, 1024594-51-1, 231610-51-8, 25377-50-8, 664303-42-8, 952411-45-9"
"6217-54-5, 25167-62-8","1005411-64-2, 1008399-82-3, 1024594-51-1, 231610-51-8, 25377-50-8, 664303-42-8, 952411-45-9"
"661-19-8, 30303-65-2",
24880-45-3,
10041-19-7,"123344-03-6, 147-89-7, 1878156-38-7, 2019157-28-7, 2170442-06-3, 21954-86-9, 2222995-18-6, 732239-99-5, 894411-97-3, 147-89-7, 21954-86-9, 894411-97-3"
1847-58-1,"12709-97-6, 39461-60-4, 8038-52-6, 12709-97-6, 39461-60-4"
115256-11-6,
115956-12-2,126126-98-5
"16389-88-1, 60937-55-5, 12001-27-3, 7000-29-5","12416-26-1, 17069-72-6, 61026-66-2, 69598-19-2, 12416-26-1, 17069-72-6, 69598-19-2, 16389-88-1"
1051375-16-6,1172581-47-3
13900-14-6,
57808-66-9,
120014-06-4,
"51-61-6, 50444-17-2, 62-31-7",
1338225-97-0,
148016-81-3,
143831-71-4,132053-08-8
120279-96-1,
N/A,
309-29-5,
74191-85-8,137888-77-8
"1668-19-5, 3607-34-9",
54573-75-0,"125285-48-5, 87649-67-0"
23214-92-8,"23257-17-2, 24385-08-8, 25311-50-6, 29042-30-6"
"564-25-0, 24390-14-5, 7164-70-7","10597-92-9, 7164-70-7, 7264-10-0"
"469-21-6, 76210-47-4, 562-10-7",
N/A,N/A
N/A,
N/A,
N/A,
"1972-08-3, 6465-30-1","1363-19-5, 14146-29-3, 14146-43-1, 26108-45-2, 5957-27-7"
141626-36-0,
548-73-2,
N/A,
67392-87-4,
98530-76-8,
"23651-95-8, 3916-18-5","43160-12-9, 6204-89-3"
923950-08-7,1198417-37-6
"116539-59-4, 136434-34-9",
1190264-60-8,
1428935-60-7,1493766-03-2
164656-23-9,
1201438-56-3,
586-60-7,
N/A,
460738-38-9,750596-66-8
N/A,
N/A,
27220-47-9,68797-30-8
6736-03-4,
219685-50-4,
"89-25-8, 89-25-8
19735-89-8","115566-83-1, 12235-58-4, 206195-95-1, 52224-17-6, 62495-97-0, 72134-66-8, 12235-58-4, 206195-95-1, 52224-17-6, 62495-97-0, 72134-66-8, 942-32-5; 19735-89-8"
"139-33-3, 6381-92-6, 60-00-4, 688-55-1, 15954-91-3, 62-33-9","13440-78-3, 1586747-13-8, 161122-33-4, 1799367-75-1, 2024587-69-5, 20539-27-9, 26627-46-3, 30485-87-1, 30485-88-2, 30485-90-6, 32757-10-1, 402925-67-1, 675141-16-9, 94108-75-5, 13440-78-3, 161122-33-4, 20539-27-9, 26627-46-3, 30485-87-1, 30485-88-2, 30485-90-6, 32757-10-1, 402925-67-1, 94108-75-5"
480449-70-5,876652-15-2
"312-48-1, 116-38-1",
214745-43-4,339155-58-7
154598-52-4,
164650-44-6,
"1069-31-4, 70052-12-9",67037-37-0
1270012-79-7,
1270012-74-2,
N/A,
"834153-87-6, 832720-36-2",
1709806-75-6,
9007-58-3,
1370468-36-2,1444832-51-2
N/A,N/A
"7664-93-9, 12772-98-4, 14808-79-8","119540-51-1, 127529-01-5, 140623-70-7, 119540-51-1, 127529-01-5, 140623-70-7, 1973539-23-9"
143322-58-1,
977005-95-0,
N/A,
491833-29-5,
9025-60-9,9079-83-8
915296-00-3,
496775-61-2,2097678-09-4
864821-90-9,
697761-98-1,
1709815-23-5,
87233-61-2,
1610943-06-0,
"25618-55-7, 56-81-5, 977091-53-4, 74899-87-9, 7091-73-8, 144086-03-3, 8013-25-0, 30918-77-5","1400594-62-8, 1422250-43-8, 1629856-20-7, 29796-42-7, 30049-52-6, 37228-54-9, 75398-78-6, 78630-16-7, 8013-25-0, 1400594-62-8, 1422250-43-8, 29796-42-7, 30049-52-6, 30918-77-5, 37228-54-9, 78630-16-7, 8013-25-0"
864070-44-0,"1240076-01-0, 1314556-33-6"
"143491-57-0, 143491-54-7",145213-48-5
N/A,
"75847-73-3, 76095-16-4","172964-46-4, 77549-58-7"
"76420-72-9, 84680-54-6",
1446502-11-9,
1269440-17-6,
13838-16-9,
159519-65-0,262434-79-7
74011-58-8,
679809-58-6,
"471-53-4, 1449-05-4","107420-91-7, 15301-63-0, 202522-39-2, 2088830-40-2, 2442477-01-0, 299198-00-8, 8055-71-8, 15301-63-0, 202522-39-2, 299198-00-8, 8055-71-8"
93106-60-6,
130929-57-6,116314-67-1
"142217-69-4, 209216-23-9",
915087-33-1,
N/A,
N/A,
"299-42-3, 90-81-3","321-96-0, 6912-63-6, 6912-63-6"
989-51-5,863-65-0
N/A,
80012-43-7,134507-59-8
"51-43-4, 840507-49-5, 929881-05-0",51028-73-0
56420-45-2,57918-25-9
107724-20-9,
"11096-26-7, 113427-24-0",
11096-26-7,
35121-78-9,"63748-50-5, 63859-31-4"
133040-01-4,
N/A,
188627-80-7,"148031-34-9, 157630-07-4"
N/A,
N/A,
1207283-85-9,
1582205-90-0,
50-14-6,"1384584-60-4, 31316-19-5, 7489-18-1, 8017-28-5, 1384584-60-4, 31316-19-5, 8017-28-5"
60-79-7,"11002-48-5, 78207-83-7"
"379-79-3, 113-15-5","1080650-16-3, 6915-20-4, 98260-30-1, 98260-31-2"
253128-41-5,441045-16-5
N/A,
183321-74-6,
"153832-46-3, 153773-82-1",
"1210344-57-2, 1431329-06-4, 1210344-83-4",
"114-07-8, 82343-12-2, 215031-94-0, 5442-22-8, 7704-67-8, 7540-22-9",374700-25-1
128196-01-0,
33643-46-8,
236395-14-5,
"81147-92-4, 103598-03-4","103598-03-4, 84057-94-3"
119141-88-7,"1116141-00-4, 177541-03-6, 193469-77-1, 326602-80-6, 177541-03-6, 193469-77-1, 326602-80-6"
29975-16-4,
"50-28-2, 17916-67-5, 57-91-0","1050677-52-5, 1206475-11-7, 873662-39-6, 1050677-52-5, 1206475-11-7"
2998-57-4,
50-27-1,
"53-16-7, 19973-76-3",37242-41-4
"12126-59-9, 16680-47-0",
N/A,
"53-16-7, 19973-76-3",37242-41-4
138729-47-2,
58-54-8,
185243-69-0,200013-86-1
1262780-97-1,
1173755-55-9,
"74-55-5, 36697-71-9",
"443-48-1, 56010-45-8",
"141-43-5, 12220-07-4, 12220-09-6, 9007-33-4","2122854-11-7, 2169804-94-6, 9007-33-4, 9007-33-4"
113-18-8,"8060-77-3, 1135334-09-6"
57-63-6,"1050678-65-3, 406932-93-2, 77538-56-8, 406932-93-2, 77538-56-8"
N/A,
536-33-4,5261-38-1
77-67-8,
86-35-1,
N/A,
"37225-26-6, 107-21-1, 25322-68-3, 3775-85-7","1371582-33-0, 2088100-90-5, 37221-95-7, 71767-64-1, 849688-22-8, 37221-95-7, 71767-64-1"
"36637-18-0, 38188-41-9, 38188-42-0, 60108-68-1",
"2809-21-4, 25211-86-3, 7414-83-7","100511-44-2, 103736-66-9, 106908-76-3, 129130-42-3, 138360-84-6, 192526-55-9, 303177-33-5, 51888-66-5, 66216-98-6, 83047-25-0, 85188-80-3, 853028-38-3, 85985-26-8, 86159-18-4, 100511-44-2, 103736-66-9, 106908-76-3, 129130-42-3, 192526-55-9, 303177-33-5, 51888-66-5, 66216-98-6, 83047-25-0, 853028-38-3, 85985-26-8, 86159-18-4"
41340-25-4,
33125-97-2,
54048-10-1,165050-21-5
33419-42-0,"121471-01-0, 136598-18-0, 201594-04-9, 35317-32-9, 51854-34-3, 76576-58-4"
117091-64-2,
269055-15-4,394729-17-0
1231-93-2,
N/A,
97-53-0,
84625-35-4,
N/A,
N/A,
N/A,
N/A,
N/A,
N/A,
"308064-97-3, 90028-66-3",
159351-69-6,1245613-55-1
1180-71-8,1392-24-1
1256937-27-5,1420806-15-0
107868-30-4,
141758-74-9,"141732-76-5, 286014-72-0, 335149-21-8"
N/A,
"58-61-7, 133248-01-8","46946-45-6, 46969-16-8, 1348387-95-0, 46946-45-6, 46969-16-8, 46969-16-8"
N/A,
163222-33-1,
"69-72-7, 8042-60-2","1186130-36-8, 7681-06-3, 8052-31-1, 1186130-36-8, 8052-31-1"
N/A,
N/A,
56283-52-4,
"17493-86-6, 139076-62-3","169149-90-0, 448896-18-2"
78690-39-8,
109319-16-6,
"64-17-5, 2154-50-9, 2348-46-1","121182-78-3, 8000-16-6, 8024-45-1, 8000-16-6, 8024-45-1"
97089-56-0,
N/A,
N/A,
104227-87-4,
76824-35-6,
"504-24-5, 29212-32-6, 916979-36-7, 286367-79-1",
57-10-3,"116860-99-2, 212625-86-0, 60605-23-4, 66321-94-6, 116860-99-2, 212625-86-0, 66321-94-6"
N/A,
144060-53-7,
N/A,
25451-15-4,
72509-76-3,86189-69-7
133-11-9,
43210-67-9,53571-02-1
458-24-2,"25990-46-9, 5220-89-3"
49562-28-9,
42017-89-0,
"67227-56-9, 67227-57-0",87900-90-1
"29679-58-1, 31879-05-7, 71720-56-4, 34597-40-5",31879-05-7
"16397-28-7, 15686-61-0",15686-61-0
437-38-7,80832-90-2
"119683-68-0, 1317-61-9",1309-38-2
171544-35-7,
"1309-38-2, 722492-56-0","122303-97-3, 123897-13-2, 124364-57-4, 137263-94-6, 151820-32-5, 174794-75-3, 73904-98-0, 90577-09-6, 722492-56-0"
"286930-02-7, 286930-03-8",
83799-24-0,"159389-12-5, 76815-58-2"
"25878-23-3, 24557-79-7",
873857-62-6,"55352-58-4, 56645-60-4, 750595-89-2"
121181-53-1,
98319-26-7,
162359-55-9,
N/A,
"111-30-8, 5337-49-5, 5337-48-4, 5333-22-2","107950-89-0, 1428979-54-7, 1497435-71-8, 37245-61-7, 79215-57-9, 107950-89-0, 79215-57-9"
146-14-5,"16426-55-4, 887565-61-9, 16426-55-4"
146-17-8,
1206488-21-2,1207678-34-9
15301-69-6,
54143-55-4,99495-87-1
167933-07-5,
956103-76-7,
50-91-9,
86386-73-4,123631-92-5
2022-85-7,
"21679-14-1, 21679-15-2",
127-31-1,
1524-88-5,
78755-81-4,
"3385-03-3, 77326-96-6",
67-73-2,
356-12-7,
"2321-07-5, 518-45-6","126605-73-0, 213880-86-5, 518-46-7, 770677-61-7, 213880-86-5, 518-46-7, 770677-61-7"
7782-41-4,"28077-97-6, 719993-31-4, 719993-31-4"
426-13-1,
51-21-8,"1004-03-1, 4921-97-5, 79108-01-3, 1004-03-1, 4921-97-5"
"54910-89-3, 57226-07-0","52341-67-0, 57226-07-0"
76-43-7,
69-23-8,47646-09-3
17617-23-1,
"5104-49-4, 51543-38-5",51543-38-5
13311-84-7,37209-54-4
90566-53-3,
397864-44-7,
"93957-54-1, 155229-75-7, 93957-55-2",
"54739-18-3, 89035-92-7",
N/A,
"59-30-3, 6484-89-5, 112339-08-9, 112339-32-9","11096-55-2, 33609-88-0"
"9002-68-0, 146479-72-3",
N/A,
N/A,
7554-65-6,
N/A,
114870-03-0,350014-67-4
N/A,N/A
N/A,
"50-00-0, 30525-89-4, 17030-74-9, 35907-63-2","1053659-79-2, 112068-71-0, 1156543-56-4, 1158237-02-5, 1196157-74-0, 1227476-28-9, 1357848-44-2, 1416946-65-0, 1609158-91-9, 2100305-91-5, 8005-38-7, 8006-07-3, 8013-13-6, 1053659-79-2, 1156543-56-4, 1158237-02-5, 1227476-28-9, 8005-38-7, 8006-07-3, 8013-13-6"
68-12-2,"114057-15-7, 15175-63-0, 15175-77-6, 33513-42-7, 114057-15-7, 15175-63-0, 15175-77-6"
"73573-87-2, 128954-45-0","126587-85-7, 183814-29-1, 49861-99-6"
N/A,
"226700-79-4, 1257693-05-2",
172673-20-0,
"34156-56-4, 63585-09-1",
"522-40-7, 13425-53-1, 5965-09-3",
"77-86-1, 1185-53-1, 136760-04-8","108195-86-4, 1158650-64-6, 119320-15-9, 25149-07-9, 68755-45-3, 83147-39-1, 857365-23-2, 108195-86-4, 1158650-64-6, 119320-15-9, 68755-45-3, 83147-39-1, 857365-23-2"
98048-97-6,
93390-81-9,
"258516-89-1, 258516-87-9",
901119-35-5,945745-48-2
N/A,
N/A,
N/A,
1655501-53-3,
158747-02-5,
N/A,N/A
"57-48-7, 6347-01-9, 7660-25-5, 30237-26-4","10597-68-9, 149014-33-5, 196419-06-4, 3812-57-5, 69-67-0, 149014-33-5, 196419-06-4, 3812-57-5, 69-67-0, 10489-79-9; 6347-01-9"
3351-86-8,
977001-75-4,
129453-61-8,
N/A,
"110-17-8, 26099-09-2, 6915-18-0, 498-24-8, 123548-45-8","623158-97-4, 909873-99-0, 623158-97-4"
"67-45-8, 1217222-76-8","8023-25-4, 8027-73-4"
54-31-9,
60142-96-3,
