New CAS,New Deprecated CAS
"1318-93-0, 110070-78-5, 1302-78-9","111744-70-8, 12199-64-3, 12414-99-2, 12656-86-9, 51811-27-9, 61029-13-8, 61711-53-3, 64418-14-0, 67479-91-8, 110070-78-5"
"156053-89-3, 170098-38-1",
768-94-5,744952-70-3
7648-98-8,
177036-94-1,
N/A,
N/A,
51022-69-6,
"90-84-6, 134-80-5",
"300-62-9, 60-15-1","17108-96-2, 60-15-1, 96332-84-2, 60-15-1, 96332-84-2"
20537-88-6,53028-04-9
37517-28-5,"1079316-47-4, 108914-65-4, 110660-81-6, 110660-83-8, 111319-93-8, 38859-32-4, 1079316-47-4, 108914-65-4, 110660-83-8, 111319-93-8, 38859-32-4"
"2609-46-3, 2016-88-8",
2097132-02-8,
90-45-9,148651-03-0
"60-32-2, 1319-82-0","1153953-92-4, 87867-96-7, 93208-38-9, 87867-96-7, 93208-38-9"
125-84-8,
106-60-5,1354778-41-8
"317-34-0, 95646-60-9","12767-26-9, 442519-87-1, 8013-40-9, 80186-94-3"
"504-29-0, 26445-05-6, 24843-39-8","102769-74-4, 2222571-76-6, 29212-31-5, 45505-67-7, 102769-74-4, 29212-31-5, 45505-67-7"
65-49-6,2220148-96-7
1951-25-3,
50-48-6,
68302-57-8,
88150-42-9,
"7664-41-7, 17778-88-0","1026405-88-8, 208990-07-2, 214478-05-4, 558443-52-0, 8007-57-6, 208990-07-2, 214478-05-4, 558443-52-0, 8007-57-6, 8007-57-6"
"14798-03-9, 15194-15-7, 92075-50-8, 19496-55-0","12141-26-3, 194419-49-3"
57-43-2,
14028-44-5,
"61336-70-7, 26787-78-0","1236363-38-4, 33911-69-2, 71447-36-4, 81030-75-3, 1236363-38-4, 71447-36-4, 81030-75-3"
"300-62-9, 60-15-1","17108-96-2, 60-15-1, 96332-84-2, 60-15-1, 96332-84-2"
"1397-89-3, 1397-89-3
30652-87-0, 12633-72-6","1407-52-9, 30782-62-8, 54482-28-9, 8055-20-7"
69-53-4,"33604-21-6, 37234-64-3, 47355-94-2, 50584-05-9, 800-79-3, 8056-87-9, 96707-69-6, 98520-55-9, 33604-21-6, 37234-64-3, 47355-94-2, 50584-05-9, 800-79-3, 96707-69-6, 98520-55-9"
161814-49-9,
60719-84-8,
"463-04-7, 8017-89-8",
60-29-7,"1480389-44-3, 74446-43-8, 7578-39-4, 927820-24-4, 7578-39-4, 927820-24-4"
68475-42-3,
143090-92-0,
N/A,
120511-73-1,
N/A,
1262449-58-0,
N/A,N/A
N/A,
482-27-9,
N/A,N/A
138402-11-6,
166663-25-8,"1201539-91-4, 185425-61-0"
117-37-3,
N/A,
